Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
80062,498,3e-06,0.001225,0.00200803
28,498,2.9e-05,0.001213,0.0562249
5,498,8e-06,0.001224,0.0100402
73512,498,4e-06,0.001222,0.00200803
27487,498,9e-06,0.000776,0.00200803
79457,498,3e-06,0.001165,0.00200803
30,498,2.9e-05,0.000792,0.060241
288,498,0.000196,0.000679,0.578313
76732,498,4e-06,0.000731,0.00200803
7924,498,4e-06,0.000927,0.00200803
38,498,4.2e-05,0.001164,0.0763052
64116,498,5e-06,0.001212,0.00200803
89462,498,5e-06,0.001016,0.00200803
94061,498,5e-06,0.000739,0.00200803
96766,498,3e-06,0.000788,0.00200803
57632,498,5e-06,0.000723,0.00200803
24,498,2.8e-05,0.000804,0.0481928
89146,498,4e-06,0.000755,0.00200803
24,498,3.1e-05,0.000734,0.0481928
1,498,5e-06,0.001226,0.00200803
87339,498,4e-06,0.001201,0.00200803
97,498,6e-06,0.001217,0.00401606
90060,498,4e-06,0.001238,0.00200803
68623,498,5e-06,0.001221,0.00200803
28,498,2.7e-05,0.001019,0.0562249
87105,498,7e-06,0.001231,0.00401606
17,498,8e-06,0.001226,0.0060241
30975,498,5e-06,0.001218,0.00200803
28,498,2.7e-05,0.001218,0.0562249
4267,498,8e-06,0.001245,0.0060241
5030,498,5e-06,0.001052,0.00200803
5,498,1e-05,0.000757,0.0100402
71122,498,3e-06,0.000927,0.00200803
92944,498,4e-06,0.000982,0.00200803
35,498,3.2e-05,0.001107,0.0702811
26,498,3.3e-05,0.001244,0.0522088
10762,498,4e-06,0.001205,0.00200803
62608,498,4e-06,0.001239,0.00200803
80383,498,4e-06,0.001234,0.00200803
17,498,2.4e-05,0.001237,0.0341365
91289,498,5e-06,0.001222,0.00200803
96728,498,5e-06,0.001218,0.00200803
86533,498,3e-06,0.001219,0.00200803
83216,498,3e-06,0.001231,0.00200803
72694,498,4e-06,0.00124,0.00200803
19,498,1.8e-05,0.001204,0.0381526
58168,498,3e-06,0.001179,0.00200803
47430,498,5e-06,0.001234,0.00200803
70207,498,4e-06,0.001183,0.00200803
25,498,2.9e-05,0.000738,0.0502008
1,498,6e-06,0.000734,0.0060241
84221,498,4e-06,0.000845,0.00200803
73072,498,3e-06,0.000727,0.00200803
1,498,8e-06,0.00095,0.0060241
21,498,6e-06,0.00125,0.00401606
16,498,1.9e-05,0.001277,0.0321285
49835,498,4e-06,0.001234,0.00200803
17,498,7e-06,0.001337,0.00401606
87216,498,5e-06,0.0013,0.00200803
18,498,3.3e-05,0.0013,0.0361446
38501,498,5e-06,0.0013,0.00200803
-4152,498,4e-06,0.001222,0.00200803
43,498,8.1e-05,0.001135,0.0863454
14,498,2.9e-05,0.00125,0.0281124
93394,498,4e-06,0.00123,0.00200803
91902,498,3e-06,0.001197,0.00200803
100177,498,3e-06,0.001222,0.00200803
48159,498,1.1e-05,0.001235,0.00200803
97867,498,4e-06,0.00124,0.00200803
96486,498,3e-06,0.001297,0.00200803
88,498,0.000116,0.001161,0.176707
13666,498,4e-06,0.001293,0.00200803
76,498,7.3e-05,0.001297,0.15261
82897,498,5e-06,0.001324,0.00200803
91773,498,4e-06,0.001305,0.00200803
20,498,2.1e-05,0.001142,0.0401606
88956,498,1e-05,0.001284,0.00200803
46635,498,5e-06,0.00123,0.00200803
93496,498,3e-06,0.001222,0.00200803
42,498,5.1e-05,0.001252,0.0843373
1,498,1e-05,0.001345,0.00200803
88655,498,1.3e-05,0.001319,0.00200803
81353,498,4e-06,0.001291,0.00200803
35,498,3.6e-05,0.001204,0.0702811
90,498,8.5e-05,0.001254,0.180723
26,498,3e-05,0.000772,0.0522088
5,498,4e-06,0.001027,0.00401606
26,498,2.7e-05,0.001262,0.0522088
49712,498,1e-05,0.001265,0.00200803
98,498,0.000111,0.001261,0.196787
80569,498,7e-06,0.001206,0.00200803
97276,498,4e-06,0.001169,0.00200803
98262,498,3e-06,0.000845,0.00200803
80662,498,2e-06,0.000737,0.00200803
80429,498,2e-06,0.001144,0.00200803
20,498,4e-05,0.001271,0.0401606
37,498,3.9e-05,0.00125,0.0742972
95036,498,5e-06,0.001,0.00200803
66682,498,4e-06,0.000749,0.00200803
10,498,1.4e-05,0.000843,0.0200803
42208,498,3e-06,0.000747,0.00200803
8,498,1e-05,0.000914,0.0160643
30,498,3.2e-05,0.000685,0.060241
60011,498,3e-06,0.001213,0.00200803
68,498,6.8e-05,0.001272,0.136546
19,498,2.2e-05,0.001312,0.0381526
81083,498,7e-06,0.001317,0.00200803
85135,498,4e-06,0.001324,0.00200803
91412,498,4e-06,0.001073,0.00200803
79746,498,5e-06,0.000976,0.00200803
75457,498,4e-06,0.001208,0.00200803
69970,498,5e-06,0.000744,0.00200803
-12902,498,5e-06,0.000743,0.00200803
5,498,1.1e-05,0.000735,0.00401606
10,498,1.8e-05,0.000753,0.0200803
72244,498,3e-06,0.000748,0.00200803
31,498,3.3e-05,0.000906,0.062249
47819,498,4e-06,0.000975,0.00200803
27,498,4.2e-05,0.001273,0.0542169
4,498,1.2e-05,0.00117,0.00803213
62852,498,4e-06,0.001008,0.00200803
52486,498,5e-06,0.001245,0.00200803
66609,498,5e-06,0.001273,0.00200803
79204,498,4e-06,0.001227,0.00200803
100849,498,4e-06,0.001325,0.00200803
73901,498,4e-06,0.001277,0.00200803
93332,498,4e-06,0.001276,0.00200803
59841,498,4e-06,0.001045,0.00200803
21,498,4e-06,0.000734,0.00803213
61,498,3.9e-05,0.000745,0.12249
1,498,2e-06,0.000732,0.00401606
64787,498,5e-06,0.000876,0.00401606
45225,498,2e-06,0.000739,0.00200803
5,498,6e-06,0.000846,0.0100402
28,498,2.5e-05,0.000843,0.0562249
1,498,6e-06,0.000778,0.00803213
93445,498,4e-06,0.00076,0.00200803
10270,498,3e-06,0.000744,0.00200803
6,498,1.1e-05,0.00082,0.0120482
81473,498,6e-06,0.000731,0.00401606
73526,498,3e-06,0.000828,0.00200803
98877,498,4e-06,0.000772,0.00200803
85341,498,3e-06,0.000742,0.00200803
30,498,2.8e-05,0.00106,0.060241
89649,498,3e-06,0.001218,0.00200803
77975,498,3e-06,0.001256,0.00200803
33,498,3.3e-05,0.001271,0.0662651
85307,498,4e-06,0.00123,0.00200803
93063,498,3e-06,0.001239,0.00200803
95083,498,5e-06,0.001138,0.00200803
91060,498,3e-06,0.001245,0.00200803
78342,498,4e-06,0.001193,0.00200803
28,498,2.6e-05,0.001218,0.0562249
9,498,6e-06,0.001109,0.0060241
1,498,7e-06,0.001143,0.0060241
47042,498,5e-06,0.001182,0.00200803
59271,498,4e-06,0.000964,0.00200803
46,498,5e-05,0.00085,0.0923695
23435,498,4e-06,0.000808,0.00200803
68388,498,3e-06,0.000803,0.00200803
83485,498,3e-06,0.00112,0.00200803
15,498,5e-06,0.00122,0.00401606
95068,498,4e-06,0.000819,0.00200803
36087,498,4e-06,0.001085,0.00200803
65937,498,5e-06,0.001246,0.00200803
62110,498,4e-06,0.001231,0.00200803
24,498,2.4e-05,0.001186,0.0481928
-7370,498,5e-06,0.00111,0.00200803
79365,498,4e-06,0.001056,0.00200803
95047,498,3e-06,0.00115,0.00200803
75185,498,4e-06,0.001052,0.00200803
85425,498,3e-06,0.001167,0.00200803
-29000,498,4e-06,0.001071,0.00200803
1,498,8e-06,0.001183,0.00803213
99586,498,4e-06,0.001158,0.00200803
21,498,3e-05,0.001148,0.0421687
37,498,2.3e-05,0.001067,0.0742972
1,498,6e-06,0.001111,0.00401606
6503,498,4e-06,0.001126,0.00200803
94685,498,2e-06,0.001147,0.00200803
1,498,5e-06,0.001158,0.00401606
29,498,4e-05,0.000804,0.0582329
47240,498,4e-06,0.00076,0.00200803
30686,498,3e-06,0.001133,0.00200803
28,498,2.7e-05,0.001173,0.0562249
80023,498,3e-06,0.001009,0.00200803
67456,498,4e-06,0.000858,0.00200803
93411,498,4e-06,0.000848,0.00200803
80561,498,3e-06,0.000968,0.00200803
81186,498,4e-06,0.000866,0.00200803
1,498,5e-06,0.001107,0.00200803
73029,498,4e-06,0.001032,0.00200803
24,498,3.1e-05,0.00112,0.0481928
82821,498,4e-06,0.001156,0.00200803
8,498,1.1e-05,0.001031,0.0160643
1977,498,8e-06,0.001207,0.00401606
15333,498,5e-06,0.001129,0.00200803
30368,498,5e-06,0.001105,0.00200803
30150,498,5e-06,0.001213,0.00200803
1,498,6e-06,0.0012,0.0060241
23,498,1.8e-05,0.001062,0.0461847
6022,498,6e-06,0.001097,0.00200803
93405,498,4e-06,0.00127,0.00200803
36205,498,5e-06,0.00107,0.00200803
83750,498,4e-06,0.001018,0.00200803
84542,498,4e-06,0.001153,0.00200803
88,498,7.9e-05,0.001046,0.176707
97914,498,4e-06,0.001014,0.00200803
32185,498,6e-06,0.000897,0.00200803
-5272,498,3e-06,0.001192,0.00200803
66531,498,7e-06,0.00086,0.00401606
5,498,1.2e-05,0.001178,0.0100402
67003,498,3e-06,0.000857,0.00200803
88069,498,4e-06,0.000898,0.00200803
94016,498,3e-06,0.000768,0.00200803
27,498,2.4e-05,0.000729,0.0542169
74956,498,4e-06,0.000837,0.00200803
82189,498,2e-06,0.000717,0.00200803
86874,498,4e-06,0.000717,0.00200803
81714,498,2e-06,0.000854,0.00200803
42347,498,5e-06,0.000803,0.00200803
93301,498,4e-06,0.000893,0.00200803
60378,498,5e-06,0.001193,0.00200803
79975,498,4e-06,0.001184,0.00200803
95818,498,4e-06,0.000832,0.00200803
68223,498,4e-06,0.000698,0.00200803
6,498,1.1e-05,0.000691,0.0120482
89721,498,3e-06,0.000712,0.00200803
10,498,1.2e-05,0.000678,0.0200803
61261,498,3e-06,0.000683,0.00200803
78,498,6e-05,0.000675,0.156627
5,498,7e-06,0.000789,0.0100402
97775,498,3e-06,0.000729,0.00200803
13834,498,1e-06,0.000752,0.00200803
69603,498,4e-06,0.001189,0.00200803
63529,498,4e-06,0.000811,0.00200803
12036,498,3e-06,0.000724,0.00200803
97946,498,3e-06,0.000725,0.00200803
25,498,4e-06,0.000864,0.00401606
6,498,7e-06,0.00064,0.0120482
85926,498,2e-06,0.000704,0.00200803
35624,498,4e-06,0.000693,0.00200803
8404,498,4e-06,0.000687,0.00200803
11402,498,4e-06,0.000682,0.00200803
36619,498,3e-06,0.000706,0.00200803
30,498,1.8e-05,0.000758,0.060241
68676,498,2e-06,0.000953,0.00200803
38473,498,3e-06,0.001186,0.00200803
65357,498,3e-06,0.001046,0.00200803
12801,498,3e-06,0.0007,0.00200803
95405,498,3e-06,0.000705,0.00200803
1,498,3e-06,0.000695,0.00401606
82777,498,3e-06,0.000694,0.00200803
49479,498,2e-06,0.00069,0.00200803
74906,498,2e-06,0.00071,0.00200803
94088,498,2e-06,0.000695,0.00200803
72063,498,2e-06,0.000699,0.00200803
21,498,1.5e-05,0.000696,0.0421687
12603,498,2e-06,0.000707,0.00200803
1,498,7e-06,0.000792,0.00803213
-4598,498,4e-06,0.000973,0.00200803
98333,498,3e-06,0.000863,0.00200803
52708,498,3e-06,0.0007,0.00200803
30,498,2.8e-05,0.000707,0.060241
32605,498,2e-06,0.000712,0.00200803
73932,498,2e-06,0.000697,0.00200803
101927,498,2e-06,0.000718,0.00200803
29,498,2.8e-05,0.000699,0.0582329
74151,498,3e-06,0.000705,0.00200803
55915,498,2e-06,0.000699,0.00200803
55921,498,3e-06,0.000822,0.00200803
1,498,5e-06,0.000757,0.0060241
71522,498,3e-06,0.000805,0.00200803
11409,498,5e-06,0.001131,0.00200803
36,498,5e-05,0.001246,0.0722892
8961,498,6e-06,0.00087,0.00200803
28377,498,4e-06,0.000701,0.00200803
70335,498,3e-06,0.000834,0.00200803
86454,498,3e-06,0.000705,0.00200803
6093,498,5e-06,0.000718,0.00401606
5,498,5e-06,0.000672,0.00401606
92157,498,2e-06,0.000712,0.00200803
44143,498,3e-06,0.000689,0.00200803
34646,498,2e-06,0.000689,0.00200803
89453,498,2e-06,0.000887,0.00200803
70572,498,3e-06,0.000935,0.00200803
57880,498,2e-06,0.00073,0.00200803
1,498,4e-06,0.000852,0.00803213
24568,498,3e-06,0.00071,0.00200803
95,498,7.7e-05,0.000706,0.190763
91388,498,3e-06,0.000714,0.00200803
86447,498,3e-06,0.000716,0.00200803
93506,498,4e-06,0.000749,0.00200803
24,498,2.9e-05,0.000919,0.0481928
37794,498,3e-06,0.000742,0.00200803
58186,498,2e-06,0.000724,0.00200803
33714,498,2e-06,0.000704,0.00200803
26,498,1.7e-05,0.001198,0.0522088
2853,498,4e-06,0.001134,0.00200803
39143,498,6e-06,0.001228,0.00200803
52542,498,5e-06,0.00119,0.00200803
59725,498,3e-06,0.001099,0.00200803
24,498,3.3e-05,0.000761,0.0481928
36764,498,4e-06,0.000727,0.00200803
17070,498,2e-06,0.000678,0.00200803
73116,498,3e-06,0.000714,0.00200803
35,498,2.1e-05,0.00069,0.0702811
52243,498,1e-06,0.000692,0.00200803
17,498,2e-06,0.000871,0.00401606
6,498,9e-06,0.00084,0.0120482
20352,498,5e-06,0.001154,0.00200803
51886,498,3e-06,0.00076,0.00200803
1,498,4e-06,0.000709,0.00401606
73157,498,1e-05,0.000781,0.00200803
20208,498,5e-06,0.000774,0.00200803
1,498,2e-06,0.000718,0.00401606
18,498,1.5e-05,0.000716,0.0361446
72016,498,1e-06,0.000726,0.00200803
31,498,2e-05,0.000685,0.062249
99645,498,3e-06,0.000706,0.00200803
670,498,2e-06,0.000638,0.00200803
66670,498,1e-06,0.000928,0.00200803
10,498,1.4e-05,0.00095,0.0200803
96951,498,3e-06,0.000857,0.00200803
5,498,9e-06,0.000713,0.0100402
63262,498,3e-06,0.000888,0.00200803
94433,498,1e-06,0.00071,0.00200803
81229,498,3e-06,0.000697,0.00200803
22,498,1.3e-05,0.000693,0.0441767
53,498,2.9e-05,0.00069,0.106426
95647,498,2e-06,0.000752,0.00200803
33,498,2.3e-05,0.000755,0.0662651
