Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
156101,2991,6e-06,0.006191,0.000334336
648605,2991,7e-06,0.007346,0.000334336
291206,2991,5e-06,0.00727,0.000334336
552492,2991,5e-06,0.006703,0.000334336
313092,2991,6e-06,0.006163,0.000334336
354173,2991,5e-06,0.0073,0.000334336
175935,2991,6e-06,0.007088,0.000334336
27,2991,4.1e-05,0.0068,0.00902708
17,2991,2.3e-05,0.007059,0.00568372
587507,2991,5e-06,0.006792,0.000334336
399163,2991,1e-05,0.006851,0.000334336
496150,2991,6e-06,0.006643,0.000334336
3958,2991,0.002809,0.006812,1.3233
434695,2991,5e-06,0.006928,0.000334336
79927,2991,5e-06,0.005556,0.000334336
95298,2991,3e-06,0.004243,0.000334336
542807,2991,3e-06,0.006268,0.000334336
52193,2991,5e-06,0.004526,0.000334336
486968,2991,6e-06,0.006166,0.000334336
63,2991,7e-06,0.006126,0.000668673
38519,2991,2.1e-05,0.00615,0.000334336
295674,2991,6e-06,0.00443,0.000334336
654581,2991,4e-06,0.005705,0.000334336
2,2991,6e-06,0.005786,0.000668673
45,2991,5e-06,0.006083,0.000668673
567750,2991,6e-06,0.00601,0.000334336
609049,2991,4e-06,0.004508,0.000334336
10,2991,3.1e-05,0.004291,0.00334336
99864,2991,6e-06,0.00622,0.000668673
485197,2991,5e-06,0.004646,0.000334336
661228,2991,6e-06,0.004838,0.000334336
665948,2991,4e-06,0.006655,0.000334336
22,2991,9e-06,0.007022,0.00133735
122466,2991,7e-06,0.006135,0.000334336
290656,2991,4e-06,0.004651,0.000334336
404483,2991,4e-06,0.006984,0.000334336
50700,2991,5e-06,0.005253,0.000334336
480321,2991,6e-06,0.006549,0.000334336
441100,2991,3e-06,0.006774,0.000334336
485506,2991,4e-06,0.005333,0.000334336
237427,2991,6e-06,0.005506,0.000334336
7,2991,1.3e-05,0.004738,0.00234035
432280,2991,7e-06,0.006931,0.000334336
268466,2991,7e-06,0.005941,0.000334336
211581,2991,5e-06,0.004293,0.000334336
406322,2991,6e-06,0.007591,0.000334336
256350,2991,6e-06,0.007,0.000334336
300131,2991,5e-06,0.006454,0.000334336
667109,2991,6e-06,0.004487,0.000334336
433664,2991,5e-06,0.006925,0.000334336
10,2991,1.8e-05,0.006787,0.00334336
316346,2991,6e-06,0.006741,0.000334336
257957,2991,7e-06,0.006151,0.000334336
99967,2991,8e-06,0.00447,0.000668673
21341,2991,5e-06,0.006091,0.000334336
624272,2991,5e-06,0.004524,0.000334336
22,2991,1e-05,0.005558,0.00133735
435596,2991,5e-06,0.007006,0.000334336
720592,2991,4e-06,0.005108,0.000334336
226563,2991,5e-06,0.00442,0.000334336
503255,2991,4e-06,0.006062,0.000334336
671890,2991,6e-06,0.007194,0.000334336
482897,2991,6e-06,0.006911,0.000334336
385932,2991,5e-06,0.004802,0.000334336
728948,2991,5e-06,0.005647,0.000334336
321231,2991,6e-06,0.006508,0.000334336
1,2991,1.6e-05,0.006608,0.000668673
439026,2991,6e-06,0.004658,0.000334336
38,2991,7e-06,0.005708,0.000668673
90239,2991,5e-06,0.006268,0.000334336
153347,2991,6e-06,0.006563,0.000334336
351,2991,8e-06,0.005488,0.000668673
418052,2991,6e-06,0.006974,0.000334336
379859,2991,6e-06,0.00708,0.000334336
456618,2991,5e-06,0.006047,0.000334336
11822,2991,5e-06,0.006674,0.000334336
437474,2991,5e-06,0.004978,0.000334336
670044,2991,5e-06,0.006045,0.000334336
37096,2991,4e-06,0.004074,0.000334336
342668,2991,6e-06,0.005999,0.000334336
705417,2991,6e-06,0.007109,0.000334336
401160,2991,6e-06,0.00667,0.000334336
716381,2991,1.8e-05,0.004689,0.000334336
242459,2991,5e-06,0.004815,0.000334336
177623,2991,6e-06,0.005743,0.000334336
156,2991,0.000152,0.006037,0.0521565
14,2991,2e-05,0.006751,0.00468071
121809,2991,6e-06,0.006137,0.000334336
273914,2991,8e-06,0.006887,0.000334336
551062,2991,8e-06,0.005066,0.000334336
507027,2991,3e-06,0.004428,0.000334336
560380,2991,4e-06,0.005664,0.000334336
327389,2991,8e-06,0.006497,0.000334336
458664,2991,6e-06,0.006808,0.000334336
11,2991,1e-05,0.006302,0.00133735
635103,2991,5e-06,0.00623,0.000334336
17316,2991,6e-06,0.006269,0.000334336
214394,2991,7e-06,0.006501,0.000334336
54,2991,1.6e-05,0.005455,0.00100301
10,2991,1.1e-05,0.005537,0.00334336
468073,2991,5e-06,0.005367,0.000334336
479121,2991,4e-06,0.006443,0.000334336
625684,2991,4e-06,0.005384,0.000334336
338565,2991,5e-06,0.004395,0.000334336
511245,2991,5e-06,0.006358,0.000334336
554771,2991,6e-06,0.007044,0.000334336
535485,2991,6e-06,0.005221,0.000334336
52809,2991,3e-06,0.004059,0.000334336
212286,2991,4e-06,0.006282,0.000334336
634086,2991,6e-06,0.00574,0.000334336
31450,2991,5e-06,0.004953,0.000334336
524918,2991,6e-06,0.005254,0.000334336
740231,2991,5e-06,0.004835,0.000334336
