Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
76857,9026,5e-06,0.017951,0.000110791
30177,9026,5e-06,0.017398,0.000110791
41429,9026,6e-06,0.017412,0.000110791
55146,9026,5e-06,0.016443,0.000110791
94673,9026,4e-06,0.014948,0.000110791
63058,9026,4e-06,0.0165,0.000110791
113818,9026,3e-06,0.013058,0.000110791
20598,9026,4e-06,0.012921,0.000110791
40828,9026,6e-06,0.01385,0.000110791
191,9026,0.000159,0.012729,0.0211611
138585,9026,4e-06,0.015222,0.000110791
185802,9026,5e-06,0.018851,0.000110791
187,9026,1.1e-05,0.014256,0.000332373
163567,9026,4e-06,0.014822,0.000110791
170208,9026,4e-06,0.014853,0.000110791
130879,9026,4e-06,0.013259,0.000110791
10639,9026,5e-06,0.014342,0.000110791
142188,9026,4e-06,0.013058,0.000110791
6064,9026,3e-06,0.010982,0.000110791
2861,9026,3e-06,0.012832,0.000110791
39404,9026,1e-05,0.019624,0.000110791
163717,9026,1.1e-05,0.013862,0.000110791
77674,9026,8e-06,0.015774,0.000110791
93280,9026,4e-06,0.013415,0.000110791
43231,9026,3e-06,0.012946,0.000110791
154484,9026,3e-06,0.012995,0.000110791
148075,9026,4e-06,0.012664,0.000110791
127941,9026,3e-06,0.017215,0.000110791
110366,9026,5e-06,0.01513,0.000110791
87058,9026,6e-06,0.016726,0.000110791
189767,9026,5e-06,0.022599,0.000110791
161647,9026,5e-06,0.022864,0.000110791
77338,9026,6e-06,0.019769,0.000110791
184089,9026,4e-06,0.017958,0.000110791
52934,9026,3e-06,0.014502,0.000110791
93595,9026,3e-06,0.017465,0.000110791
35391,9026,6e-06,0.016792,0.000110791
153481,9026,5e-06,0.018147,0.000110791
78378,9026,6e-06,0.020145,0.000110791
5227,9026,6e-06,0.013847,0.000110791
115344,9026,5e-06,0.014805,0.000110791
166110,9026,6e-06,0.017651,0.000110791
111560,9026,6e-06,0.020815,0.000110791
94454,9026,1.2e-05,0.017139,0.000110791
23807,9026,3e-06,0.01725,0.000110791
79677,9026,3e-06,0.017188,0.000110791
177000,9026,6e-06,0.017215,0.000110791
191795,9026,5e-06,0.017665,0.000110791
180583,9026,6e-06,0.014938,0.000110791
6,9026,9e-06,0.014395,0.000664746
40321,9026,7e-06,0.015048,0.000110791
118689,9026,5e-06,0.015219,0.000110791
187976,9026,6e-06,0.017019,0.000110791
1,9026,1.8e-05,0.016357,0.000110791
67136,9026,7e-06,0.017234,0.000110791
