Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
94301,18,4e-06,4.3e-05,0.0555556
1098,18,0.001012,4.4e-05,61
41,18,4.1e-05,4.7e-05,2.27778
1,18,7e-06,4.7e-05,0.166667
1189,18,0.001087,4.5e-05,66.0556
285,18,0.000166,2.7e-05,15.8333
5,18,9e-06,3.7e-05,0.277778
335052,18,3e-06,3.8e-05,0.0555556
230,18,0.000171,2.5e-05,12.7778
3,18,5e-06,3.9e-05,0.166667
10,18,1.2e-05,3.9e-05,0.555556
63,18,7.1e-05,2.6e-05,3.5
33,18,3.3e-05,2.9e-05,1.83333
41,18,4e-05,2.8e-05,2.27778
43,18,3.8e-05,2.6e-05,2.38889
18,18,2.1e-05,3.4e-05,1
21724,18,2e-06,4.5e-05,0.0555556
180242,18,4e-06,4.6e-05,0.0555556
1,18,6e-06,4.6e-05,0.166667
13,18,1.5e-05,4.5e-05,0.722222
6,18,8e-06,4.5e-05,0.333333
8,18,1.1e-05,4.4e-05,0.444444
6,18,7e-06,4.6e-05,0.166667
10,18,2.3e-05,4.4e-05,0.555556
39983,18,3e-06,5e-05,0.0555556
1606,18,0.001329,2.9e-05,89.2222
5,18,6e-06,3.2e-05,0.111111
1015,18,0.000572,3.3e-05,56.3889
258,18,0.000157,2.6e-05,14.3333
16,18,1.3e-05,3.3e-05,0.888889
144,18,8.9e-05,2.8e-05,8
18,18,1.6e-05,3.3e-05,1
5,18,4e-06,3.5e-05,0.111111
303391,18,4e-06,3.6e-05,0.0555556
1791,18,0.000936,2.5e-05,99.5
3,18,4e-06,3.9e-05,0.166667
6,18,9e-06,4.5e-05,0.333333
23,18,2.7e-05,4.1e-05,1.27778
381882,18,3e-06,4.7e-05,0.0555556
99998,18,6e-06,4.6e-05,0.166667
6,18,1e-05,4.4e-05,0.333333
24327,18,5e-06,4.7e-05,0.0555556
357620,18,5e-06,4.8e-05,0.0555556
10,18,8e-06,4.5e-05,0.166667
2724,18,0.002294,4.4e-05,151.333
11,18,1.7e-05,4.7e-05,0.611111
16,18,2.8e-05,4.5e-05,0.888889
153533,18,4e-06,4.8e-05,0.0555556
491,18,0.000426,2.7e-05,27.2778
5057,18,0.004147,2.8e-05,280.944
225408,18,3e-06,4.4e-05,0.0555556
25,18,3e-05,3.8e-05,1.38889
99997,18,6e-06,4.5e-05,0.111111
3,18,5e-06,4.2e-05,0.111111
2720,18,0.001929,3.1e-05,151.111
8,18,4e-06,3.8e-05,0.111111
16,18,1.2e-05,3.6e-05,0.888889
35,18,3.4e-05,4.4e-05,1.94444
35,18,3.6e-05,4.9e-05,1.94444
23,18,2.5e-05,4.7e-05,1.27778
596,18,0.000557,4.3e-05,33.1111
10,18,2e-05,4.3e-05,0.555556
33222,18,3e-06,3e-05,0.0555556
325408,18,4e-06,3.7e-05,0.0555556
16,18,1.7e-05,2.9e-05,0.888889
2865,18,0.001551,2.6e-05,159.167
6,18,7e-06,3.4e-05,0.333333
167,18,0.000107,2.7e-05,9.27778
7,18,6e-06,3.8e-05,0.388889
2,18,7e-06,3e-05,0.222222
161,18,9.8e-05,2.9e-05,8.94444
295811,18,4e-06,2.9e-05,0.0555556
8041,18,0.004191,2.7e-05,446.722
422457,18,3e-06,2.8e-05,0.0555556
4637,18,0.002513,4.6e-05,257.611
7,18,1.2e-05,4.4e-05,0.388889
