Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
534708,13906,6e-06,0.03175,7.19114e-05
102478,13906,6e-06,0.029392,7.19114e-05
600675,13906,5e-06,0.030965,7.19114e-05
107,13906,0.000136,0.029012,0.00769452
2925,13906,1e-05,0.034875,0.000215734
743162,13906,6e-06,0.036113,7.19114e-05
218223,13906,5e-06,0.028396,7.19114e-05
18370,13906,4e-06,0.026505,7.19114e-05
464244,13906,6e-06,0.023614,7.19114e-05
577037,13906,6e-06,0.021285,7.19114e-05
568778,13906,6e-06,0.025642,7.19114e-05
636588,13906,5e-06,0.021874,7.19114e-05
774544,13906,3e-06,0.024025,7.19114e-05
298443,13906,5e-06,0.020149,7.19114e-05
293236,13906,4e-06,0.022369,7.19114e-05
774647,13906,6e-06,0.028384,7.19114e-05
768275,13906,4e-06,0.024378,7.19114e-05
441391,13906,9e-06,0.022228,7.19114e-05
237364,13906,4e-06,0.021997,7.19114e-05
594303,13906,3e-06,0.02124,7.19114e-05
533323,13906,4e-06,0.024905,7.19114e-05
401274,13906,4e-06,0.019992,7.19114e-05
694322,13906,5e-06,0.023805,7.19114e-05
12286,13906,6e-06,0.024581,7.19114e-05
556842,13906,5e-06,0.023684,7.19114e-05
649296,13906,7e-06,0.028599,7.19114e-05
39140,13906,6e-06,0.023213,7.19114e-05
339479,13906,4e-06,0.026535,7.19114e-05
651975,13906,6e-06,0.029316,7.19114e-05
748749,13906,7e-06,0.027031,7.19114e-05
2450,13906,1.1e-05,0.024416,0.000215734
1,13906,5e-06,0.025752,0.000143823
177211,13906,5e-06,0.027388,7.19114e-05
574978,13906,7e-06,0.029348,7.19114e-05
382849,13906,6e-06,0.024431,7.19114e-05
446185,13906,6e-06,0.027661,7.19114e-05
138250,13906,1.6e-05,0.026208,7.19114e-05
450242,13906,5e-06,0.025748,7.19114e-05
30569,13906,6e-06,0.025602,7.19114e-05
595,13906,0.000443,0.02297,0.0427873
96981,13906,7e-06,0.034142,7.19114e-05
312941,13906,9e-06,0.029313,7.19114e-05
698805,13906,6e-06,0.030943,7.19114e-05
169929,13906,7e-06,0.026534,7.19114e-05
663212,13906,7e-06,0.025652,7.19114e-05
1,13906,4e-06,0.027162,0.000143823
39,13906,7e-06,0.020292,0.000215734
68430,13906,5e-06,0.021444,7.19114e-05
39,13906,2.5e-05,0.021638,0.00280454
697005,13906,4e-06,0.022894,7.19114e-05
223379,13906,4e-06,0.022974,7.19114e-05
76389,13906,5e-06,0.019644,7.19114e-05
614875,13906,5e-06,0.020511,7.19114e-05
7,13906,1.8e-05,0.020321,0.00050338
265297,13906,5e-06,0.020757,7.19114e-05
1,13906,4e-06,0.027522,0.000143823
671578,13906,3e-06,0.024921,7.19114e-05
1,13906,7e-06,0.019612,0.000143823
297433,13906,3e-06,0.020294,7.19114e-05
170752,13906,5e-06,0.023438,7.19114e-05
