Range Length,Alphabet Size, Go through All in Range (ms),Entire Alphabet Rank (ms),Range / Alphabet ratio
38,498,0.266,7.567,0.076
32,498,0.308,5.051,0.064
2,498,0.022,4.892,0.004
1,498,0.001,4.918,0.002
1,498,0.001,5.153,0.002
39,498,0.217,6.875,0.078
15,498,0.254,6.904,0.030
1,498,0.001,4.674,0.002
1180,498,5.261,10.874,2.369
4,498,0.043,5.48,0.008
44,498,0.168,4.102,0.088
1,498,0.001,4.339,0.002
2,498,0.01,4.396,0.004
1,498,0.001,4.086,0.002
9,498,0.055,4.755,0.018
11,498,0.027,4.44,0.022
167,498,0.633,6.806,0.335
121,498,0.778,6.217,0.243
171,498,1.141,9.161,0.343
4,498,0.131,4.453,0.008
1,498,0.004,5.5,0.002
1,498,0.001,6.04,0.002
1,498,0.001,3.821,0.002
1,498,0.001,4.007,0.002
1355,498,4.708,5.236,2.721
22,498,0.064,3.814,0.044
723,498,2.221,5.852,1.452
1,498,0.001,4.105,0.002
10,498,0.032,3.998,0.020
1,498,0.001,4.03,0.002
57,498,0.247,4.121,0.114
7,498,0.03,3.732,0.014
407,498,1.397,5.687,0.817
1,498,0.001,3.735,0.002
211,498,0.712,5.596,0.424
182,498,0.62,4.156,0.365
1,498,0.001,4.003,0.002
60,498,0.359,3.869,0.120
36,498,0.224,3.887,0.072
67,498,0.247,2.635,0.135
6,498,0.082,2.245,0.012
19,498,0.016,4.214,0.038
1,498,0.001,3.55,0.002
2,498,0.002,3.974,0.004
1,498,0.001,4.253,0.002
1,498,0.001,3.921,0.002
1,498,0.001,4.86,0.002
1,498,0.001,5.49,0.002
1,498,0.001,4.223,0.002
1,498,0.13,3.807,0.002
1,498,0.001,5.467,0.002
1,498,0.001,4.313,0.002
1,498,0.001,3.867,0.002
57,498,0.291,4.377,0.114
1,498,0.001,3.26,0.002
85,498,0.066,1.638,0.171
1,498,0.001,1.478,0.002
323,498,0.485,1.362,0.649
1,498,0.002,1.451,0.002
1,498,0,1.397,0.002
233,498,0.263,1.871,0.468
1,498,0,1.167,0.002
1,498,0.001,1.104,0.002
29,498,0.019,1.09,0.058
2,498,0.001,1.018,0.004
220,498,0.192,0.966,0.442
1,498,0,0.97,0.002
1,498,0,0.949,0.002
